Brand,Funnel_Stage,Unique_Users,conversion_rate%,drop_off_rate%
samsung,01_View,935464,100.0,0.0
samsung,02_Intent,119555,12.78,87.22
samsung,03_Purchase,94073,78.69,21.310000000000002
apple,01_View,729319,100.0,0.0
apple,02_Intent,82063,11.25,88.75
apple,03_Purchase,65593,79.93,20.069999999999993
xiaomi,01_View,470832,100.0,0.0
xiaomi,02_Intent,43409,9.22,90.78
xiaomi,03_Purchase,35063,80.77,19.230000000000004
huawei,01_View,234061,100.0,0.0
huawei,02_Intent,19042,8.14,91.86
huawei,03_Purchase,15378,80.76,19.239999999999995
lucente,01_View,145492,100.0,0.0
lucente,02_Intent,6928,4.76,95.24
lucente,03_Purchase,6928,100.0,0.0
lg,01_View,145762,100.0,0.0
lg,02_Intent,6992,4.8,95.2
lg,03_Purchase,5970,85.38,14.620000000000005
bosch,01_View,142152,100.0,0.0
bosch,02_Intent,6209,4.37,95.63
bosch,03_Purchase,4175,67.24,32.760000000000005
oppo,01_View,114818,100.0,0.0
oppo,02_Intent,9106,7.93,92.07
oppo,03_Purchase,7086,77.82,22.180000000000007
sony,01_View,122111,100.0,0.0
sony,02_Intent,5143,4.21,95.79
sony,03_Purchase,4406,85.67,14.329999999999998
acer,01_View,87586,100.0,0.0
acer,02_Intent,4755,5.43,94.57
acer,03_Purchase,4352,91.52,8.480000000000004
